what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.6.0_35",1486043744138
java.vm.info,sysinfo,,,"mixed mode, sharing",1486043744138
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1486043744138
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1486043744138
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1486043744138
java.vm.specification.version,sysinfo,,,"1.0",1486043744138
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1486043744138
java.vm.version,sysinfo,,,"20.10-b01",1486043744138
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1486043754296
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1486043754697
stopped,bundle,com.zylin.embeddedcdt,4.11.1,"com.zylin.embeddedcdt",1486043754697
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.ui",1486043754697
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.0.0.200909110608,"org.eclipse.cdt.dsf.gdb.ui",1486043754697
stopped,bundle,org.eclipse.cdt.dsf.ui,2.0.1.200909110608,"org.eclipse.cdt.dsf.ui",1486043754707
stopped,bundle,org.eclipse.cdt.launch,6.0.0.200909110608,"org.eclipse.cdt.launch",1486043754707
