what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.make.ui,6.0.1.200909110608,"org.eclipse.cdt.make.ui",1486044723850
started,bundle,org.eclipse.cdt.managedbuilder.core,6.0.0.200909110608,"org.eclipse.cdt.managedbuilder.core",1486044723850
started,bundle,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui",1486044723850
started,bundle,org.eclipse.epp.usagedata.gathering,1.1.0.R200906100410,"org.eclipse.epp.usagedata.gathering",1486044723850
started,bundle,org.eclipse.epp.usagedata.recording,1.1.0.R200906100410,"org.eclipse.epp.usagedata.recording",1486044723850
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.core",1486044723860
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.ui",1486044723860
started,bundle,org.eclipse.mylyn.commons.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.commons.ui",1486044723860
started,bundle,org.eclipse.mylyn.context.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.core",1486044723860
started,bundle,org.eclipse.mylyn.context.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.ui",1486044723860
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.monitor.ui",1486044723860
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui",1486044723860
started,bundle,org.eclipse.mylyn.team.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.team.ui",1486044723870
started,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1486044723870
os,sysinfo,,,"win32",1486044723880
arch,sysinfo,,,"x86",1486044723880
ws,sysinfo,,,"win32",1486044723880
locale,sysinfo,,,"pl_PL",1486044723880
processors,sysinfo,,,"1",1486044723880
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1486044723880
java.runtime.version,sysinfo,,,"1.6.0_35-b10",1486044723880
java.specification.name,sysinfo,,,"Java Platform API Specification",1486044723880
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1486044723880
java.specification.version,sysinfo,,,"1.6",1486044723880
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1486044723880
